Date,Open,High,Low,Close,Adj Close,Volume
2020-05-27,80.040001,81.139999,76.019997,81.019997,81.019997,11637100
2020-05-28,81.019997,82.320000,79.000000,79.620003,79.620003,9939400
2020-05-29,79.730003,81.949997,79.339996,81.080002,81.080002,8325500
2020-06-01,81.000000,83.419998,80.120003,82.720001,82.720001,8709700
2020-06-02,82.959999,88.269997,82.379997,88.000000,88.000000,18364200
2020-06-03,88.000000,92.550003,87.089996,91.970001,91.970001,17089200
2020-06-04,90.959999,92.959999,86.190002,87.720001,87.720001,13368100
2020-06-05,90.000000,91.449997,88.067001,89.930000,89.930000,11127700
2020-06-08,90.500000,91.230003,88.029999,89.620003,89.620003,8751100
2020-06-09,89.019997,91.653999,87.870003,89.529999,89.529999,7749000
2020-06-10,90.260002,92.970001,89.500000,91.910004,91.910004,9486700
2020-06-11,87.750000,90.000000,85.769997,86.089996,86.089996,14754700
2020-06-12,89.019997,89.180000,84.250000,86.720001,86.720001,9937300
2020-06-15,84.790001,91.300003,84.059998,91.000000,91.000000,9813000
2020-06-16,93.070000,95.867996,92.559998,94.739998,94.739998,13026400
2020-06-17,94.779999,100.000000,94.699997,97.029999,97.029999,17113700
2020-06-18,97.000000,98.650002,95.820000,98.269997,98.269997,8766900
2020-06-19,100.099998,102.260002,97.919998,97.980003,97.980003,13879800
2020-06-22,99.739998,105.459999,99.250000,104.220001,104.220001,17117000
2020-06-23,105.000000,106.360001,103.050003,104.750000,104.750000,14042800
2020-06-24,104.000000,105.749001,98.930000,100.879997,100.879997,13250400
2020-06-25,102.459999,106.150002,101.286003,104.779999,104.779999,13569800
2020-06-26,105.029999,107.839996,102.517998,104.300003,104.300003,19759100
2020-06-29,105.150002,105.279999,101.220001,103.680000,103.680000,9210800
2020-06-30,103.500000,105.300003,102.888000,104.940002,104.940002,7605100
2020-07-01,106.919998,117.129997,106.540001,115.900002,115.900002,22480900
2020-07-02,118.000000,118.779999,113.230003,113.389999,113.389999,15066300
2020-07-06,118.790001,128.360001,118.029999,118.970001,118.970001,34424000
2020-07-07,121.199997,129.839996,120.029999,125.599998,125.599998,28573900
2020-07-08,127.199997,133.429993,127.000000,133.350006,133.350006,25627400
2020-07-09,132.539993,133.809998,127.669998,129.389999,129.389999,21959300
2020-07-10,128.389999,129.600006,125.254997,128.050003,128.050003,11260800
2020-07-13,131.050003,133.240005,116.669998,118.650002,118.650002,18489500
2020-07-14,118.589996,121.853996,111.139999,121.239998,121.239998,17175100
2020-07-15,124.010002,124.480003,117.660004,122.199997,122.199997,9606900
2020-07-16,119.940002,123.300003,117.550003,119.949997,119.949997,11827600
2020-07-17,120.980003,122.379997,118.589996,120.730003,120.730003,6961700
2020-07-20,121.260002,129.460007,120.529999,128.389999,128.389999,12424000
2020-07-21,129.949997,130.800003,125.070000,126.989998,126.989998,10777800
2020-07-22,127.489998,131.710007,127.059998,129.179993,129.179993,8437500
2020-07-23,127.739998,129.848999,121.320000,122.930000,122.930000,11010200
2020-07-24,119.889999,122.910004,117.000000,121.410004,121.410004,8060000
2020-07-27,124.620003,126.769997,122.339996,125.750000,125.750000,9685700
2020-07-28,125.199997,127.529999,123.320000,123.510002,123.510002,7126100
2020-07-29,125.139999,128.949997,124.900002,128.550003,128.550003,8693400
2020-07-30,128.539993,131.369995,125.330002,129.130005,129.130005,10192300
2020-07-31,131.339996,131.899994,127.360001,129.850006,129.850006,8599700
2020-08-03,130.259995,136.134995,130.259995,134.800003,134.800003,11472600
2020-08-04,135.880005,137.800003,133.600006,136.830002,136.830002,10870300
2020-08-05,153.160004,158.429993,146.199997,146.550003,146.550003,39507000
2020-08-06,149.759995,155.889999,149.119995,154.000000,154.000000,19352800
2020-08-07,151.509995,153.839996,143.350006,147.220001,147.220001,15577300
2020-08-10,147.529999,147.820007,138.660004,139.339996,139.339996,13066300
